Name,Brand,Category,Image URL,Price,MSRP,Units Available,,455
9X12 FANTASY MULTI GRAY,Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Sahra_Wool_6002662_Truffle_O_1x1_1.png?v=1719591939,$ 269 each,$447,2,,
9X12 FABLE MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/FableRug-6001762-Multi-AV1-tablet-1.jpg?v=1697981921,$ 687 each,"$1,143",8,,
9X12 ASILAH MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/AsilahRug-6001738-Multi-AV1-tablet-1.jpg?v=1697981441,"$ 1,665 each","$2,771",5,,
9 X 12 QUICKSANDS MULTI RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/b9c074e0-9880-4c5b-8c3e-e282d73e931a.jpg,$ 528 each,$879,4,,
8X10 VISTA MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/FolkloreRug-6001770-Multi-AV1-tablet-1.jpg?v=1697982056,$ 467 each,$777,9,,
8X10 VIDES SABLE RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 631 each,"$1,050",5,,
8X10 TUAREG NATURAL RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Omra_Wool_6002674_Natural_O-2-3mobile.jpg?v=1719423887,$ 516 each,$858,1,,
8X10 TUAREG BLACK RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 516 each,$858,2,,
8X10 TIMPA WHITE RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Timpa_Wool_6002652_White_O-2-3mobile.jpg?v=1718044255,$ 396 each,$659,8,,
8X10 SILAS CAMEL RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Nahid_Wool_6002658_Camel_O-2-3mobile.jpg?v=1716387745,$ 152 each,$253,16,,
8X10 SEEKER MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 256 each,$426,6,,
8X10 SAHRA IVORY RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Sahra_Wool_6002662_Oyster_O_1x1_1.png?v=1719591937,$ 206 each,$343,1,,
8X10 SAHRA COCOA RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/bfd0fb10-8b4a-4be3-a0ea-c5a8503aafc3.png,$ 198 each,$330,9,,
8X10 SAFA NATURAL RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 212 each,$352,8,,
8X10 RONDEAU MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 588 each,$978,6,,
8X10 ROARIE MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 227 each,$377,9,,
8X10 REVERIE MULTI RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/6bbf7fcf-d26e-4109-8c22-90e099067dbb.png,$ 204 each,$339,6,,
8X10 RANN COCOA RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/35e2b807-b550-4f0d-aa9b-cdbdecda9317.png,$ 210 each,$350,3,,
8X10 RABAT MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/RabatRug-6001852-2.png?v=1697673745,$ 923 each,"$1,535",5,,
8X10 QUICKSAND MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/QuicksandsRug-6001850-Multi-AV1-tablet-1.jpg?v=1697984161,$ 386 each,$643,6,,
8X10 PRISHA BLACK RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 132 each,$220,5,,
8X10 PIRRO OYSTER RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/4c65a259-e349-43fe-bbd8-8f7a4f84da41.jpg,$ 301 each,$500,7,,
8X10 OUZOUD MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/OuzoudRug-6001842-Multi-AV1-tablet-1.jpg?v=1697983315,$ 923 each,"$1,535",4,,
8X10 OREN MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/ORENRUG-6001890-Multi-AV1-tablet-1.jpg?v=1697982753,$ 736 each,"$1,225",7,,
8X10 ODYSSEY MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 343 each,$571,5,,
8X10 NOMAD MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/NomadRug-6001834-Multi-AV1-tablet-1.jpg?v=1697982736,$ 331 each,$550,14,,
8X10 NASIMA RUST RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/f3e1e21d-2859-4708-9e86-76e2a4dea172.jpg,$ 169 each,$282,3,,
8X10 NASIMA CHARCOAL RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 168 each,$279,3,,
8X10 MYRIAD MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/MyriadRug-6001828-Multi-AV1-tablet-1.jpg?v=1697982690,$ 409 each,$680,4,,
8X10 MOROCCAN TRUFFLE RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Farzin_Wool_6002677_Truffle_O-2-3mobile.jpg?v=1719422946,$ 291 each,$484,7,,
8X10 MOONLIGHT MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 765 each,"$1,273",6,,
8X10 MEKNES MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 789 each,"$1,313",16,,
8X10 MEKNES MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/MeknesRug-6001822-Multi-AV1-tablet-1.jpg?v=1697982683,$ 923 each,"$1,535",5,,
8X10 MARTIL MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 923 each,"$1,535",1,,
8X10 LORE MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 256 each,$426,6,,
8X10 LAINA COCOA RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Laina_Wool_6003804_Cocoa_O-2-3mobile.jpg?v=1719419492,$ 198 each,$330,3,,
